RecordID,SourceType,ParticipantID,StudySite,ApproxWordCount,Completeness,InclusionStatus,Notes
SITE2/P01/Interview,Structured contemporaneous notes,SITE2/P01,SITE2,124,Q1;Q2;Q3;Q4;Q5,INCLUDED,No audio consent; quotation-ineligible
SITE2/P02/Interview,English analytic transcript,SITE2/P02,SITE2,229,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P03/Interview,English analytic transcript,SITE2/P03,SITE2,361,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P04/Interview,English analytic transcript,SITE2/P04,SITE2,402,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P05/Interview,English analytic transcript,SITE2/P05,SITE2,344,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P06/Interview,English analytic transcript,SITE2/P06,SITE2,347,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P07/Interview,Structured contemporaneous notes,SITE2/P07,SITE2,130,Q1;Q2;Q3;Q4;Q5,INCLUDED,No audio consent; quotation-ineligible
SITE2/P08/Interview,English analytic transcript,SITE2/P08,SITE2,483,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P09/Interview,English analytic transcript,SITE2/P09,SITE2,279,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P10/Interview,English analytic transcript,SITE2/P10,SITE2,610,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P11/Interview,Structured contemporaneous notes,SITE2/P11,SITE2,128,Q1;Q2;Q3;Q4;Q5,INCLUDED,No audio consent; quotation-ineligible
SITE2/P12/Interview,Structured contemporaneous notes,SITE2/P12,SITE2,71,Q1;Q2;Q3;Q4;Q5,INCLUDED,No audio consent; quotation-ineligible
SITE2/P13/Interview,English analytic transcript,SITE2/P13,SITE2,214,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P14/Interview,English analytic transcript,SITE2/P14,SITE2,275,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P15/Interview,Structured contemporaneous notes,SITE2/P15,SITE2,221,Q1;Q2;Q3;Q4;Q5,INCLUDED,No audio consent; quotation-ineligible
SITE2/P16/Interview,English analytic transcript,SITE2/P16,SITE2,325,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P17/Interview,English analytic transcript,SITE2/P17,SITE2,803,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE2/P18/Interview,English analytic transcript,SITE2/P18,SITE2,222,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P01/Interview,English analytic transcript,SITE1/P01,SITE1,525,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P02/Interview,English analytic transcript,SITE1/P02,SITE1,639,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P03/Interview,English analytic transcript,SITE1/P03,SITE1,459,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P04/Interview,English analytic transcript,SITE1/P04,SITE1,437,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P05/Interview,English analytic transcript,SITE1/P05,SITE1,598,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P06/Interview,English analytic transcript,SITE1/P06,SITE1,600,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P07/Interview,English analytic transcript,SITE1/P07,SITE1,227,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P08/Interview,English analytic transcript,SITE1/P08,SITE1,221,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P09/Interview,English analytic transcript,SITE1/P09,SITE1,557,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
SITE1/P10/Interview,English analytic transcript,SITE1/P10,SITE1,385,Q1;Q2;Q3;Q4;Q5,INCLUDED,Used as primary interview record
