Pattern,MethodOrder,Block1Routes,Block2Routes,Block3Routes,Participants
1,Baseline > Minimap > Tsunami,A > B > C,B > C > A,C > A > B,"SITE1/P01; SITE1/P24; SITE2/P01"
2,Baseline > Minimap > Tsunami,B > C > A,C > A > B,A > B > C,"SITE1/P02; SITE2/P02"
3,Baseline > Minimap > Tsunami,C > A > B,A > B > C,B > C > A,"SITE1/P03; SITE2/P03"
4,Minimap > Tsunami > Baseline,A > B > C,B > C > A,C > A > B,"SITE1/P04; SITE1/P23; SITE2/P04"
5,Minimap > Tsunami > Baseline,B > C > A,C > A > B,A > B > C,"SITE1/P05; SITE2/P05"
6,Minimap > Tsunami > Baseline,C > A > B,A > B > C,B > C > A,"SITE1/P06; SITE2/P06"
7,Tsunami > Baseline > Minimap,A > B > C,B > C > A,C > A > B,"SITE1/P07; SITE1/P22; SITE2/P07"
8,Tsunami > Baseline > Minimap,B > C > A,C > A > B,A > B > C,"SITE1/P08; SITE2/P08"
9,Tsunami > Baseline > Minimap,C > A > B,A > B > C,B > C > A,"SITE1/P09; SITE2/P09"
10,Baseline > Tsunami > Minimap,A > B > C,B > C > A,C > A > B,"SITE1/P10; SITE2/P10"
11,Baseline > Tsunami > Minimap,B > C > A,C > A > B,A > B > C,"SITE1/P11; SITE2/P11"
12,Baseline > Tsunami > Minimap,C > A > B,A > B > C,B > C > A,"SITE1/P12; SITE1/P21; SITE2/P12"
13,Minimap > Baseline > Tsunami,A > B > C,B > C > A,C > A > B,"SITE1/P13; SITE2/P13"
14,Minimap > Baseline > Tsunami,B > C > A,C > A > B,A > B > C,"SITE1/P14; SITE2/P14"
15,Minimap > Baseline > Tsunami,C > A > B,A > B > C,B > C > A,"SITE1/P15; SITE1/P20; SITE2/P15"
16,Tsunami > Minimap > Baseline,A > B > C,B > C > A,C > A > B,"SITE1/P16; SITE2/P16"
17,Tsunami > Minimap > Baseline,B > C > A,C > A > B,A > B > C,"SITE1/P17; SITE2/P17"
18,Tsunami > Minimap > Baseline,C > A > B,A > B > C,B > C > A,"SITE1/P18; SITE1/P19; SITE2/P18"
