ParticipantUID,ParticipantID,Location,Method,Route,MethodOrder,Run,CheckpointIndex,SourceFile,FirstAimSourceRow,FirstTeleportSourceRow,FirstAppearSourceRow,FinalAppearSourceRow,ProgressBannerSourceRow,FirstAimTimestamp,FirstTeleportTimestamp,FirstAppearTimestamp,FinalAppearTimestamp,ProgressBannerTimestamp,StartPos_x,StartPos_y,StartPos_z,TargetPos_x,TargetPos_y,TargetPos_z,FirstLandingPos_x,FirstLandingPos_y,FirstLandingPos_z,FinalLandingPos_x,FinalLandingPos_y,FinalLandingPos_z,InitialTargetDistance2D,InitialTargetDistance3D,FirstTeleportDistance2D,FirstTeleportDistance3D,FirstLandingError2D,FirstLandingError3D,FinalLandingError2D,FinalLandingError3D,DirectHit,CorrectionCount,TeleportCountToCheckpoint,AllCorrectionsUnder100m,ContainsCorrectionAtLeast100m,TotalCorrectionDistance2D,TotalCorrectionDistance3D,MaxCorrectionDistance2D,MaxCorrectionDistance3D,FirstCorrectionLatency,TotalEpisodeTime,BannerDelayTime,TeleportActionSequence,TeleportSourceRows,AppearSourceRows,CorrectionDistances2D,CorrectionDistances3D,DistanceBand100m,DistanceBandBalanced,EpisodeStatus
SITE1_P01,P01,SITE1,map,A,2,7,1,P01_race_map_A_7.csv,3,4,5,5,6,10:11:17.934,10:11:21.058,10:11:21.058,10:11:21.058,10:11:23.159,1364.400000,-136.900000,-2182.400000,1036.100000,-125.400000,-1926.600000,1033.800000,-123.700000,-1927.500000,1033.800000,-123.700000,-1927.500000,416.190497,416.349349,417.457028,417.662519,2.469818,2.998333,2.469818,2.998333,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.124000,2.101000,teleport_map,4,5,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,2,P01_race_map_A_7.csv,7,8,9,9,10,10:11:23.786,10:11:28.669,10:11:28.669,10:11:28.669,10:11:30.342,1033.700000,-123.800000,-1927.500000,660.800000,-122.800000,-2101.300000,658.000000,-121.100000,-2102.300000,658.000000,-121.100000,-2102.300000,411.413235,411.414450,414.373660,414.382456,2.973214,3.424909,2.973214,3.424909,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,4.883000,1.673000,teleport_map,8,9,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,3,P01_race_map_A_7.csv,11,12,13,13,14,10:11:31.423,10:11:34.736,10:11:34.736,10:11:34.736,10:11:39.444,658.000000,-121.100000,-2102.300000,193.000000,-120.500000,-2075.600000,193.200000,-118.700000,-2076.200000,193.200000,-118.700000,-2076.200000,465.765918,465.766304,464.892525,464.899796,0.632456,1.907878,0.632456,1.907878,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.313000,4.708000,teleport_map,12,13,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,4,P01_race_map_A_7.csv,15,16,17,17,18,10:11:40.874,10:11:47.670,10:11:47.670,10:11:47.670,10:11:49.507,193.200000,-118.800000,-2076.100000,207.800000,-130.500000,-1742.200000,206.200000,-128.800000,-1742.300000,206.200000,-128.800000,-1742.300000,334.219045,334.423773,334.053050,334.205700,1.603122,2.336664,1.603122,2.336664,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,6.796000,1.837000,teleport_map,16,17,,,300-400,200-350,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,5,P01_race_map_A_7.csv,19,20,21,21,22,10:11:50.886,10:11:56.658,10:11:56.658,10:11:56.658,10:11:57.965,206.100000,-128.900000,-1742.300000,-221.000000,-110.700000,-1770.000000,-223.400000,-109.000000,-1769.600000,-223.400000,-109.000000,-1769.600000,427.997313,428.384103,430.266952,430.722289,2.433105,2.968164,2.433105,2.968164,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,5.772000,1.307000,teleport_map,20,21,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,A,2,7,6,P01_race_map_A_7.csv,23,24,25,25,26,10:11:59.286,10:12:01.383,10:12:01.383,10:12:01.383,10:12:03.405,-223.300000,-109.100000,-1769.500000,-640.700000,-108.700000,-1512.100000,-640.500000,-107.000000,-1515.100000,-640.500000,-107.000000,-1515.100000,490.385073,490.385236,488.646293,488.650806,3.006659,3.453983,3.006659,3.453983,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.097000,2.022000,teleport_map,24,25,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,1,P01_race_map_B_5.csv,3,4,5,5,6,10:09:11.445,10:09:14.236,10:09:14.236,10:09:14.236,10:09:18.779,-1587.600000,-148.200000,1834.300000,-1824.000000,-155.900000,2254.000000,-1823.400000,-154.200000,2251.600000,-1823.400000,-154.200000,2251.600000,481.698090,481.759629,476.120457,476.158262,2.473863,3.001666,2.473863,3.001666,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,2.791000,4.543000,teleport_map,4,5,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,2,P01_race_map_B_5.csv,7,8,9,9,10,10:09:20.157,10:09:25.840,10:09:25.840,10:09:25.840,10:09:29.040,-1823.600000,-154.200000,2251.400000,-2183.500000,-156.800000,1969.600000,-2183.900000,-155.000000,1970.500000,-2183.900000,-155.000000,1970.500000,457.098731,457.106126,456.859825,456.860712,0.984886,2.051828,0.984886,2.051828,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,5.683000,3.200000,teleport_map,8,9,,,400-500,351-500,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,3,P01_race_map_B_5.csv,11,12,13,13,14,10:09:30.441,10:09:34.008,10:09:34.008,10:09:34.008,10:09:35.357,-2183.900000,-155.100000,1970.600000,-2489.500000,-157.100000,2081.700000,-2491.700000,-155.300000,2084.500000,-2491.700000,-155.300000,2084.500000,325.168526,325.174676,328.198187,328.198248,3.560899,3.989987,3.560899,3.989987,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.567000,1.349000,teleport_map,12,13,,,300-400,200-350,direct_hit
SITE1_P01,P01,SITE1,map,B,2,5,4,P01_race_map_B_5.csv,15,16,17,17,18,10:09:36.441,10:09:40.085,10:09:40.085,10:09:40.085,10:09:42.179,-2491.600000,-155.300000,2084.600000,-2630.000000,-156.100000,2448.000000,-2628.100000,-154.400000,2448.700000,-2628.100000,-154.400000,2448.700000,388.862598,388.863421,388.904358,388.905400,2.024846,2.643861,2.024846,2.643861,true,0,1,true,false,0.000000,0.000000,0.000000,0.000000,,3.644000,2.094000,teleport_map,16,17,,,300-400,351-500,direct_hit
