ParticipantUID,ParticipantID,Location,Method,Route,MethodOrder,Run,CheckpointIndex,SourceFile,TeleportSourceRow,AppearSourceRow,ProgressBannerSourceRow,NextAimSourceRow,TeleportTimestamp,AppearTimestamp,ProgressBannerTimestamp,NextAimTimestamp,BannerDelayTime,AppearPos_x,AppearPos_y,AppearPos_z,ProgressBannerPos_x,ProgressBannerPos_y,ProgressBannerPos_z,AppearHeadVec_x,AppearHeadVec_y,AppearHeadVec_z,ProgressBannerHeadVec_x,ProgressBannerHeadVec_y,ProgressBannerHeadVec_z,HeadRotation3D,HeadRotationXZ,AppearHeadYaw,ProgressBannerHeadYaw,SignedYawChange,AbsoluteYawChange,AppearHeadPitch,ProgressBannerHeadPitch,SignedPitchChange,AbsolutePitchChange,AppearHeadToLeftControllerAngle3D,AppearHeadToRightControllerAngle3D,ProgressBannerHeadToLeftControllerAngle3D,ProgressBannerHeadToRightControllerAngle3D,NextAimHeadVec_x,NextAimHeadVec_y,NextAimHeadVec_z,ReorientationLatency,HeadRotationAppearToNextAim3D,HeadRotationAppearToNextAimXZ,PostBannerAimLatency,HeadRotationBannerToNextAim3D,HeadRotationBannerToNextAimXZ,ReachedTargetPos_x,ReachedTargetPos_y,ReachedTargetPos_z,NextTargetPos_x,NextTargetPos_y,NextTargetPos_z,IncomingTeleportDistance2D,IncomingTeleportDistance3D,NextTargetDistanceAtAppear2D,NextTargetDistanceAtAppear3D,DirectionalErrorAtAppear3D,DirectionalErrorAtProgressBanner3D,DirectionalErrorReduction3D
SITE1_P01,P01,SITE1,baseline,A,1,1,1,P01_race_baseline_A_1.csv,19,20,21,22,09:57:02.079,09:57:02.079,09:57:04.431,09:57:05.920,2.352000,1036.900000,-123.700000,-1927.600000,1036.800000,-123.800000,-1927.600000,-0.800000,0.100000,0.600000,-0.800000,0.000000,0.600000,5.710593,0.000000,-53.130102,-53.130102,0.000000,0.000000,5.710593,0.000000,-5.710593,5.710593,75.603074,74.186786,74.369641,81.632528,-0.900000,0.300000,-0.500000,3.841000,65.320333,65.924502,1.489000,66.942668,65.924502,1036.100000,-125.400000,-1926.600000,660.800000,-122.800000,-2101.300000,5.780138,5.781003,414.273943,414.274921,61.798802,61.665418,0.133384
SITE1_P01,P01,SITE1,baseline,A,1,1,2,P01_race_baseline_A_1.csv,32,33,34,35,09:57:10.677,09:57:10.677,09:57:13.789,09:57:15.031,3.112000,664.200000,-121.100000,-2101.300000,664.200000,-121.100000,-2101.300000,-1.000000,0.100000,0.000000,-1.000000,0.100000,0.000000,0.000000,0.000000,-90.000000,-90.000000,0.000000,0.000000,5.710593,5.710593,0.000000,0.000000,84.505656,81.910517,84.505656,81.910517,-0.900000,0.400000,0.100000,4.354000,19.120638,6.340192,1.242000,19.120638,6.340192,660.800000,-122.800000,-2101.300000,193.000000,-120.500000,-2075.600000,38.746613,38.759515,471.900339,471.900720,6.441876,6.441876,0.000000
SITE1_P01,P01,SITE1,baseline,A,1,1,3,P01_race_baseline_A_1.csv,51,52,53,54,09:57:26.108,09:57:26.108,09:57:30.827,09:57:32.627,4.719000,190.400000,-118.800000,-2074.500000,190.400000,-118.800000,-2074.500000,-0.900000,0.200000,0.400000,-0.900000,0.100000,0.400000,5.681286,0.000000,-66.037511,-66.037511,0.000000,0.000000,11.478923,5.797636,-5.681286,5.681286,81.499444,77.877032,75.885834,77.626375,0.200000,0.200000,1.000000,6.519000,75.584997,77.347443,1.800000,76.509465,77.347443,193.000000,-120.500000,-2075.600000,207.800000,-130.500000,-1742.200000,77.331300,77.336537,332.755240,332.960869,69.913844,69.378102,0.535742
SITE1_P01,P01,SITE1,baseline,A,1,1,4,P01_race_baseline_A_1.csv,61,62,63,64,09:57:39.240,09:57:39.240,09:57:40.870,09:57:42.241,1.630000,207.500000,-128.800000,-1742.600000,207.500000,-128.800000,-1742.600000,0.400000,0.300000,0.900000,0.300000,0.100000,1.000000,13.495324,7.263245,23.962489,16.699244,-7.263245,7.263245,16.940938,5.471249,-11.469688,11.469688,93.478601,77.763234,80.572677,66.714134,-1.000000,0.200000,-0.200000,3.001000,119.078177,125.272421,1.371000,116.128481,118.009177,207.800000,-130.500000,-1742.200000,-221.000000,-110.700000,-1770.000000,22.542404,22.547949,429.375139,429.756466,115.520873,109.997355,5.523518
SITE1_P01,P01,SITE1,baseline,A,1,1,5,P01_race_baseline_A_1.csv,91,92,93,94,09:58:04.125,09:58:04.125,09:58:06.293,09:58:07.710,2.168000,-636.900000,-107.000000,-1514.500000,-636.900000,-107.000000,-1514.500000,-0.800000,0.100000,0.600000,-0.800000,0.100000,0.500000,4.850833,4.864514,-53.130102,-57.994617,-4.864514,4.864514,5.710593,6.050746,0.340153,0.340153,78.272858,76.435932,77.566046,77.079034,0.000000,0.200000,1.000000,3.585000,52.775272,53.130102,1.417000,57.487483,57.994617,-640.700000,-108.700000,-1512.100000,-751.100000,-107.600000,-1074.800000,32.284516,32.286994,454.288157,454.288554,38.938013,43.782962,-4.844949
SITE1_P01,P01,SITE1,baseline,B,1,2,1,P01_race_baseline_B_2.csv,16,17,18,19,09:58:39.199,09:58:39.199,09:58:42.274,09:58:43.375,3.075000,-1825.000000,-154.300000,2255.000000,-1825.100000,-154.200000,2254.900000,0.000000,0.000000,-1.000000,0.200000,0.000000,-1.000000,11.309932,11.309932,180.000000,168.690068,-11.309932,11.309932,0.000000,0.000000,0.000000,0.000000,90.000000,90.000000,78.912511,67.346051,-0.900000,0.200000,-0.400000,4.176000,66.545863,66.037511,1.101000,77.604587,77.347443,-1824.000000,-155.900000,2254.000000,-2183.500000,-156.800000,1969.600000,10.959015,10.959471,458.230739,458.237558,51.477563,62.789287,-11.311723
SITE1_P01,P01,SITE1,baseline,B,1,2,2,P01_race_baseline_B_2.csv,32,33,34,35,09:58:48.361,09:58:48.361,09:58:50.185,09:58:51.610,1.824000,-2188.500000,-155.000000,1966.100000,-2188.500000,-155.000000,1966.100000,-0.800000,0.100000,-0.600000,-0.600000,0.100000,-0.800000,16.178967,16.260205,-126.869898,-143.130102,-16.260205,16.260205,5.710593,5.710593,0.000000,0.000000,82.568450,66.993046,86.643823,69.670661,-0.800000,0.100000,0.600000,3.249000,73.313866,73.739795,1.425000,89.432706,90.000000,-2183.500000,-156.800000,1969.600000,-2489.500000,-157.100000,2081.700000,68.275691,68.275984,322.435048,322.441886,58.102184,74.259241,-16.157056
SITE1_P01,P01,SITE1,baseline,B,1,2,3,P01_race_baseline_B_2.csv,45,46,47,48,09:58:56.162,09:58:56.162,09:58:57.651,09:58:58.386,1.489000,-2489.200000,-155.400000,2081.000000,-2489.200000,-155.400000,2081.000000,-0.800000,0.100000,0.500000,-0.800000,0.100000,0.600000,4.850833,4.864514,-57.994617,-53.130102,4.864514,4.864514,6.050746,5.710593,-0.340153,0.340153,86.444385,71.214229,80.075781,63.122190,-0.200000,0.200000,1.000000,2.224000,46.391679,46.684684,0.735000,41.683434,41.820170,-2489.500000,-157.100000,2081.700000,-2630.000000,-156.100000,2448.000000,10.239629,10.239629,393.082231,393.082854,37.444514,32.609486,4.835029
SITE1_P01,P01,SITE1,baseline,B,1,2,4,P01_race_baseline_B_2.csv,58,59,60,61,09:59:02.542,09:59:02.542,09:59:04.008,09:59:05.136,1.466000,-2630.400000,-154.400000,2447.800000,-2630.400000,-154.400000,2447.800000,-0.400000,0.200000,0.900000,-0.500000,0.100000,0.900000,7.779251,5.092115,-23.962489,-29.054604,-5.092115,5.092115,11.478923,5.547656,-5.931266,5.931266,85.543663,72.302657,78.680929,66.370395,-0.800000,0.000000,-0.600000,2.594000,102.644913,102.907409,1.128000,97.778461,97.815294,-2630.000000,-156.100000,2448.000000,-2978.700000,-155.900000,2306.500000,149.558417,149.558952,375.870430,375.873423,88.202330,83.082185,5.120146
SITE1_P01,P01,SITE1,baseline,B,1,2,5,P01_race_baseline_B_2.csv,71,72,73,74,09:59:09.188,09:59:09.188,09:59:09.985,09:59:11.076,0.797000,-2973.900000,-154.100000,2307.000000,-2973.900000,-154.100000,2307.000000,-1.000000,0.100000,-0.200000,-1.000000,0.200000,-0.200000,5.495394,0.000000,-101.309932,-101.309932,0.000000,0.000000,5.600409,11.095803,5.495394,5.495394,84.508685,77.524349,90.000000,83.008845,-0.200000,0.100000,-1.000000,1.888000,67.015867,67.380135,1.091000,66.771110,67.380135,-2978.700000,-155.900000,2306.500000,-2999.000000,-156.000000,1931.000000,26.600752,26.607518,376.836848,376.841638,74.974253,75.218011,-0.243758
SITE1_P01,P01,SITE1,baseline,B,1,2,6,P01_race_baseline_B_2.csv,84,85,86,87,09:59:15.068,09:59:15.068,09:59:18.132,09:59:19.930,3.064000,-2999.400000,-154.300000,1930.300000,-2999.400000,-154.200000,1930.300000,-0.500000,-0.200000,0.800000,-0.300000,0.200000,0.900000,27.412716,13.570434,-32.005383,-18.434949,13.570434,13.570434,-11.969463,11.904688,23.874151,23.874151,85.859410,45.738220,95.615332,84.419549,-0.100000,0.100000,-1.000000,4.862000,142.240316,142.284024,1.798000,150.235168,155.854458,-2999.000000,-156.000000,1931.000000,-2991.000000,-154.200000,1449.000000,4.767599,4.767599,481.373296,481.373306,146.984747,158.993105,-12.008357
