ParticipantUID,ParticipantID,Location,Method,Route,MethodOrder,Run,SourceFile,TeleportSourceRow,AppearSourceRow,ProgressBannerSourceRow,TeleportTimestamp,AppearTimestamp,ProgressBannerTimestamp,StartPos_x,StartPos_y,StartPos_z,TargetPos_x,TargetPos_y,TargetPos_z,LandingPos_x,LandingPos_y,LandingPos_z,LandingOffset_x,LandingOffset_y,LandingOffset_z,TargetDistance2D,TargetDistance3D,ActualDisplacement2D,ActualDisplacement3D,LandingError2D,LandingError3D,DistanceBand100m,DistanceBandBalanced
SITE1_P01,P01,SITE1,map,A,2,7,P01_race_map_A_7.csv,4,5,6,10:11:21.058,10:11:21.058,10:11:23.159,1364.400000,-136.900000,-2182.400000,1036.100000,-125.400000,-1926.600000,1033.800000,-123.700000,-1927.500000,-2.300000,1.700000,-0.900000,416.190497,416.349349,417.457028,417.665668,2.469818,2.998333,400-500,351-500
SITE1_P01,P01,SITE1,map,A,2,7,P01_race_map_A_7.csv,8,9,10,10:11:28.669,10:11:28.669,10:11:30.342,1033.700000,-123.800000,-1927.500000,660.800000,-122.800000,-2101.300000,658.000000,-121.100000,-2102.300000,-2.800000,1.700000,-1.000000,411.413235,411.414450,414.373660,414.382456,2.973214,3.424909,400-500,351-500
SITE1_P01,P01,SITE1,map,A,2,7,P01_race_map_A_7.csv,12,13,14,10:11:34.736,10:11:34.736,10:11:39.444,658.000000,-121.100000,-2102.300000,193.000000,-120.500000,-2075.600000,193.200000,-118.700000,-2076.200000,0.200000,1.800000,-0.600000,465.765918,465.766304,465.532222,465.538409,0.632456,1.907878,400-500,351-500
SITE1_P01,P01,SITE1,map,A,2,7,P01_race_map_A_7.csv,16,17,18,10:11:47.670,10:11:47.670,10:11:49.507,193.200000,-118.800000,-2076.100000,207.800000,-130.500000,-1742.200000,206.200000,-128.800000,-1742.300000,-1.600000,1.700000,-0.100000,334.219045,334.423773,334.053050,334.202693,1.603122,2.336664,300-400,200-350
SITE1_P01,P01,SITE1,map,A,2,7,P01_race_map_A_7.csv,20,21,22,10:11:56.658,10:11:56.658,10:11:57.965,206.100000,-128.900000,-1742.300000,-221.000000,-110.700000,-1770.000000,-223.400000,-109.000000,-1769.600000,-2.400000,1.700000,0.400000,427.997313,428.384103,430.366751,430.826589,2.433105,2.968164,400-500,351-500
SITE1_P01,P01,SITE1,map,A,2,7,P01_race_map_A_7.csv,24,25,26,10:12:01.383,10:12:01.383,10:12:03.405,-223.300000,-109.100000,-1769.500000,-640.700000,-108.700000,-1512.100000,-640.500000,-107.000000,-1515.100000,0.200000,1.700000,-3.000000,490.385073,490.385236,488.646293,488.650806,3.006659,3.453983,400-500,351-500
SITE1_P01,P01,SITE1,map,B,2,5,P01_race_map_B_5.csv,4,5,6,10:09:14.236,10:09:14.236,10:09:18.779,-1587.600000,-148.200000,1834.300000,-1824.000000,-155.900000,2254.000000,-1823.400000,-154.200000,2251.600000,0.600000,1.700000,-2.400000,481.698090,481.759629,479.312977,479.350529,2.473863,3.001666,400-500,351-500
SITE1_P01,P01,SITE1,map,B,2,5,P01_race_map_B_5.csv,8,9,10,10:09:25.840,10:09:25.840,10:09:29.040,-1823.600000,-154.200000,2251.400000,-2183.500000,-156.800000,1969.600000,-2183.900000,-155.000000,1970.500000,-0.400000,1.800000,0.900000,457.098731,457.106126,456.859825,456.860526,0.984886,2.051828,400-500,351-500
SITE1_P01,P01,SITE1,map,B,2,5,P01_race_map_B_5.csv,12,13,14,10:09:34.008,10:09:34.008,10:09:35.357,-2183.900000,-155.100000,1970.600000,-2489.500000,-157.100000,2081.700000,-2491.700000,-155.300000,2084.500000,-2.200000,1.800000,2.800000,325.168526,325.174676,328.198187,328.198248,3.560899,3.989987,300-400,200-350
SITE1_P01,P01,SITE1,map,B,2,5,P01_race_map_B_5.csv,16,17,18,10:09:40.085,10:09:40.085,10:09:42.179,-2491.600000,-155.300000,2084.600000,-2630.000000,-156.100000,2448.000000,-2628.100000,-154.400000,2448.700000,1.900000,1.700000,0.700000,388.862598,388.863421,388.845805,388.846846,2.024846,2.643861,300-400,351-500
