ParticipantUID,ParticipantID,Location,Method,MethodOrder,SourceFile,Run,Trial,Distance,HoldTime,CompletionTime,AimingRatio,AimingSpeed,LandingPos_x,LandingPos_z,AimingError,RecommendedExclude,RepeatedFailureGroup,RepeatedFailureTrialExclude,DecisionReason
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,1,50,2.334,2.334,1.0000,21.4225,81.200,1.600,1.676,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,2,100,3.083,5.403,0.5706,32.4359,36.200,1.500,4.743,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,3,200,3.694,6.207,0.5951,54.1419,-67.600,1.900,2.025,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,4,50,1.666,3.875,0.4299,30.0120,82.100,1.400,1.456,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,5,100,1.333,3.209,0.4154,75.0188,32.100,1.300,1.360,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,6,200,4.263,6.138,0.6945,46.9153,-73.400,1.300,5.263,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,7,50,1.583,3.709,0.4268,31.5856,83.300,1.400,2.126,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,8,100,2.889,4.514,0.6400,34.6141,34.000,1.400,2.693,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,baseline,1,P01_precision_baseline_0.csv,0,9,200,3.070,4.764,0.6444,65.1466,-81.400,0.300,13.103,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,1,50,3.125,3.127,0.9994,16.0000,81.600,2.600,2.602,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,2,100,2.931,5.305,0.5525,34.1180,30.900,-1.500,1.700,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,3,200,3.237,5.181,0.6248,61.7856,-66.400,-5.900,6.198,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,4,50,2.292,3.709,0.6180,21.8150,83.900,3.900,4.478,false,false,false,Retain: not an upper-IQR candidate.
