ParticipantUID,Method,Distance,Trial,SourceFile,HoldTime,LandingOffset_x,LandingOffset_z,OutlierError,GroupMedianError,GroupIQR,UpperFence,MatchingRepetitionCount,PeerError1,PeerError2,PeerMedianError,PeerErrorRange,OutlierToPeerMedianRatio,BothPeersWithinGroupFence,PeersSimilarAtGroupIQRScale,SupportsIsolatedFailure,VeryStrongIsolatedPattern,Interpretation,RawLogPath,AimSourceRow,TeleportSourceRow,AppearSourceRow,RawSequenceVerified,ProcessedErrorMatchesRaw,TargetConsistentTeleportToAppear,PHPosAvailable,PHPosToLandingDistance,SelectedPointMatchesLanding,DirectSelectionEvidence,ErrorFractionOfNominalDistance,LargeProtocolDeviation25Percent,ProcessedHoldTime,RawAimToTeleportTime,HoldTimeMatchesRaw,RapidConfirmThresholdSeconds,VeryLowAimToTeleportTime,RecommendedExclude,DecisionReason,RepeatedGrossDeviationCount,RepeatedFailureGroup,RepeatedFailureTrialExclude
SITE1_P03,map,200,3,P03_precision_map_4.csv,1.86,22.199999999999996,16.3,27.541,4.159,4.4174999999999995,13.627249999999998,2,1.769,14.459,8.113999999999999,12.69,3.394256840029579,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P03/P03_precision_map_4.csv,9,10,11,true,true,true,true,0,true,true,0.13770711673693556,false,1.86,1.86,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P03,tsunami,200,3,P03_precision_tsunami_8.csv,2.871,19.599999999999994,0.3,19.602,3.454,4.4595,13.39575,2,1.897,9.657,5.777,7.76,3.3931106110437943,true,false,true,false,Supports one isolated failure: both other repetitions are in range,SITE1/P03/P03_precision_tsunami_8.csv,9,10,11,true,true,true,true,0,true,true,0.09801147891956324,false,2.871,2.871,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
SITE1_P03,baseline,200,6,P03_precision_baseline_0.csv,4.207,18.4,0.5,18.407,5.036,4.6995000000000005,14.681750000000001,2,7.801,9.443,8.622,1.6419999999999995,2.134887497100441,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P03/P03_precision_baseline_0.csv,18,19,20,true,true,true,false,nan,false,true,0.092033961123055,false,4.207,4.207,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P03,map,200,9,P03_precision_map_4.csv,2.972,9.5,10.9,14.459,4.159,4.4174999999999995,13.627249999999998,2,1.769,27.541,14.655,25.772000000000002,0.9866257250085295,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P03/P03_precision_map_4.csv,27,28,29,true,true,true,true,0,true,true,0.07229453644640098,false,2.972,2.972,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P03,tsunami,100,2,P03_precision_tsunami_8.csv,2.97,12.500000000000004,0.8,12.526,2.717,3.7375,10.768249999999998,2,8.031,9.813,8.922,1.782,1.4039453037435552,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P03/P03_precision_tsunami_8.csv,6,7,8,true,true,true,true,0,true,true,0.12525573839150048,false,2.97,2.97,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P03,baseline,100,8,P03_precision_baseline_0.csv,2.555,10.400000000000002,0.9,10.439,2.72,2.4644999999999997,7.8942499999999995,2,5.277,6.21,5.7435,0.9329999999999998,1.8175328632367023,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P03/P03_precision_baseline_0.csv,24,25,26,true,true,true,false,nan,false,true,0.10438869670610897,false,2.555,2.555,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P03,tsunami,50,7,P03_precision_tsunami_8.csv,2.598,8.899999999999991,0.5,8.914,2.309,2.9699999999999998,8.43,2,1.221,5.101,3.161,3.88,2.819993672888326,true,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P03/P03_precision_tsunami_8.csv,21,22,23,true,true,true,true,0,true,true,0.17828067758453225,false,2.598,2.598,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P04,baseline,200,3,P04_precision_baseline_8.csv,0.125,176.5,3.4,176.533,5.036,4.6995000000000005,14.681750000000001,2,2.563,6.531,4.547,3.9679999999999995,38.824059819661315,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE1/P04/P04_precision_baseline_8.csv,14,15,16,true,true,true,false,nan,false,true,0.8826637241894559,true,0.125,0.125,true,0.25,true,true,Upper-IQR trial; error >=25% of nominal distance; verified aim-to-teleport interval <0.25 s; raw selected/landing point verified.,1,false,false
SITE1_P05,map,100,8,P05_precision_map_0.csv,1.556,11.3,-8.9,14.384,4.342,4.4670000000000005,13.6005,2,10.362,12.832,11.597000000000001,2.4700000000000006,1.240320772613607,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P05/P05_precision_map_0.csv,24,25,26,true,true,true,true,0,true,true,0.1438401890988746,false,1.556,1.556,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P06,tsunami,200,3,P06_precision_tsunami_4.csv,2.414,-15.5,0.7,15.516,3.454,4.4595,13.39575,2,3.624,5.722,4.673,2.0980000000000003,3.3203509522790497,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE1/P06/P06_precision_tsunami_4.csv,9,10,11,true,true,true,true,0,true,true,0.07757899200170108,false,2.414,2.414,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
