Participant ID,Location,Overall Preference for Long-Range Navigation [Baseline],Overall Preference for Long-Range Navigation [Minimap],Overall Preference for Long-Range Navigation [Tsunami],Comfort During Use [Baseline],Comfort During Use [Minimap],Comfort During Use [Tsunami],Perceived Intuitiveness [Baseline],Perceived Intuitiveness [Minimap],Perceived Intuitiveness [Tsunami],Fun Factor [Baseline],Fun Factor [Minimap],Fun Factor [Tsunami]
1,SITE1,3rd,1st,2nd,3rd,1st,2nd,3rd,2nd,1st,3rd,2nd,1st
2,SITE1,3rd,2nd,1st,3rd,1st,2nd,2nd,3rd,1st,3rd,2nd,1st
3,SITE1,2nd,3rd,1st,2nd,3rd,1st,1st,3rd,2nd,3rd,2nd,1st
4,SITE1,2nd,3rd,1st,1st,3rd,2nd,1st,3rd,2nd,2nd,3rd,1st
5,SITE1,2nd,3rd,1st,2nd,3rd,1st,1st,3rd,2nd,1st,3rd,2nd
6,SITE1,3rd,2nd,1st,2nd,3rd,1st,1st,3rd,2nd,2nd,3rd,1st
7,SITE1,2nd,3rd,1st,2nd,3rd,1st,3rd,2nd,1st,3rd,2nd,1st
8,SITE1,3rd,1st,2nd,3rd,2nd,1st,2nd,3rd,1st,3rd,2nd,1st
9,SITE1,2nd,3rd,1st,1st,3rd,2nd,2nd,3rd,1st,1st,3rd,2nd
10,SITE1,2nd,3rd,1st,2nd,3rd,1st,1st,3rd,2nd,2nd,3rd,1st
11,SITE1,3rd,1st,2nd,1st,3rd,2nd,1st,2nd,3rd,3rd,1st,2nd
12,SITE1,2nd,3rd,1st,3rd,2nd,1st,2nd,3rd,1st,3rd,2nd,1st
13,SITE1,1st,3rd,2nd,1st,3rd,2nd,1st,3rd,2nd,2nd,3rd,1st
14,SITE1,3rd,2nd,1st,2nd,3rd,1st,1st,3rd,2nd,1st,3rd,2nd
15,SITE1,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st
16,SITE1,2nd,3rd,1st,2nd,3rd,1st,1st,3rd,2nd,2nd,3rd,1st
17,SITE1,3rd,1st,2nd,2nd,3rd,1st,2nd,3rd,1st,1st,3rd,2nd
18,SITE1,3rd,1st,2nd,3rd,1st,2nd,2nd,3rd,1st,3rd,1st,2nd
19,SITE1,3rd,1st,2nd,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st
20,SITE1,3rd,1st,2nd,2nd,3rd,1st,2nd,3rd,1st,3rd,2nd,1st
21,SITE1,3rd,2nd,1st,2nd,3rd,1st,1st,3rd,2nd,2nd,3rd,1st
22,SITE1,3rd,2nd,1st,2nd,3rd,1st,1st,3rd,2nd,2nd,3rd,1st
23,SITE1,3rd,1st,2nd,1st,3rd,2nd,1st,3rd,2nd,3rd,2nd,1st
24,SITE1,2nd,3rd,1st,1st,3rd,2nd,1st,2nd,3rd,2nd,3rd,1st
1,SITE2,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st,3rd,2nd,1st
2,SITE2,1st,3rd,2nd,1st,2nd,3rd,1st,2nd,3rd,1st,3rd,2nd
3,SITE2,2nd,3rd,1st,1st,3rd,2nd,1st,3rd,2nd,2nd,3rd,1st
4,SITE2,3rd,2nd,1st,3rd,1st,2nd,2nd,1st,3rd,3rd,1st,2nd
5,SITE2,2nd,3rd,1st,1st,3rd,2nd,1st,3rd,2nd,2nd,3rd,1st
6,SITE2,2nd,3rd,1st,1st,3rd,2nd,1st,2nd,3rd,3rd,2nd,1st
7,SITE2,3rd,2nd,1st,1st,3rd,2nd,1st,3rd,2nd,2nd,3rd,1st
8,SITE2,3rd,2nd,1st,3rd,2nd,1st,2nd,3rd,1st,3rd,2nd,1st
9,SITE2,1st,3rd,2nd,1st,3rd,2nd,1st,3rd,2nd,3rd,2nd,1st
10,SITE2,3rd,2nd,1st,2nd,3rd,1st,3rd,2nd,1st,2nd,3rd,1st
11,SITE2,2nd,1st,3rd,2nd,1st,3rd,1st,2nd,3rd,1st,2nd,3rd
12,SITE2,2nd,1st,3rd,2nd,1st,3rd,2nd,1st,3rd,1st,3rd,2nd
13,SITE2,3rd,1st,2nd,3rd,1st,2nd,3rd,1st,2nd,2nd,3rd,1st
14,SITE2,3rd,2nd,1st,3rd,1st,2nd,2nd,3rd,1st,3rd,1st,2nd
15,SITE2,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st,2nd,3rd,1st
16,SITE2,1st,2nd,3rd,2nd,1st,3rd,1st,3rd,2nd,1st,3rd,2nd
17,SITE2,3rd,2nd,1st,3rd,2nd,1st,2nd,3rd,1st,2nd,3rd,1st
18,SITE2,1st,3rd,2nd,1st,3rd,2nd,2nd,3rd,1st,1st,3rd,2nd
