Participant ID,Location,Baseline TLX,Minimap TLX,Tsunami TLX
1,SITE1,31.67,35.83,30.83
2,SITE1,16.67,6.67,16.67
3,SITE1,15,30.83,16.67
4,SITE1,18.33,23.33,27.5
5,SITE1,14.17,24.17,21.67
6,SITE1,34.17,23.33,15
7,SITE1,11.67,19.17,6.67
8,SITE1,51.67,32.5,50
9,SITE1,35,46.67,22.5
10,SITE1,17.5,33.33,17.5
11,SITE1,25,15.83,27.5
12,SITE1,57.5,21.67,22.5
13,SITE1,1.67,7.5,16.67
14,SITE1,25.83,28.33,22.5
15,SITE1,30.83,40,26.67
16,SITE1,16.67,24.17,8.33
17,SITE1,21.67,24.17,16.67
18,SITE1,30,20.83,30
19,SITE1,26.67,30.83,24.17
20,SITE1,15,10,14.17
21,SITE1,10.83,10,10
22,SITE1,38.33,32.5,27.5
23,SITE1,15,18.33,37.5
24,SITE1,15.83,8.33,10.83
1,SITE2,17.5,14.17,15.83
2,SITE2,1.67,16.67,5
3,SITE2,21.67,18.33,11.67
4,SITE2,11.67,5,3.33
5,SITE2,9.17,35.83,14.17
6,SITE2,14.17,8.33,7.5
7,SITE2,20.83,41.67,20.83
8,SITE2,15.83,10,5.83
9,SITE2,0.83,1.67,0.83
10,SITE2,5,5,2.5
11,SITE2,10,15,17.5
12,SITE2,15.83,20,28.33
13,SITE2,15,7.5,10.83
14,SITE2,12.5,5,3.33
15,SITE2,5,10,5
16,SITE2,25.83,19.17,31.67
17,SITE2,38.33,34.17,10.83
18,SITE2,38.33,52.5,31.67
