Participant ID,Location,SBSOD Mean Score,Interpretation
1,SITE1,6.13,Very High
2,SITE1,5.93,Very High
3,SITE1,6.13,Very High
4,SITE1,4.2,Average
5,SITE1,4,Average
6,SITE1,5.93,Very High
7,SITE1,5.93,Very High
8,SITE1,5.33,Rather High
9,SITE1,5.6,Very High
10,SITE1,4.8,Rather High
11,SITE1,5.13,Rather High
12,SITE1,5.6,Very High
13,SITE1,5.33,Rather High
14,SITE1,5.27,Rather High
15,SITE1,3.07,Rather Low
16,SITE1,4.33,Average
17,SITE1,3.67,Average
18,SITE1,3.27,Rather Low
19,SITE1,4.33,Average
20,SITE1,6.53,Very High
21,SITE1,5.47,Rather High
22,SITE1,3.93,Average
23,SITE1,5.33,Rather High
24,SITE1,3.07,Rather Low
1,SITE2,5.33,Rather High
2,SITE2,5.6,Very High
3,SITE2,4.4,Average
4,SITE2,3.27,Rather Low
5,SITE2,3.2,Rather Low
6,SITE2,4.4,Average
7,SITE2,5,Rather High
8,SITE2,4.87,Rather High
9,SITE2,4.2,Average
10,SITE2,5,Rather High
11,SITE2,5.27,Rather High
12,SITE2,4.93,Rather High
13,SITE2,6.53,Very High
14,SITE2,4,Average
15,SITE2,4.07,Average
16,SITE2,3.4,Rather Low
17,SITE2,5.73,Very High
18,SITE2,5.4,Rather High
